smiles,ADORA1_10141,AGTR1_9986,CHRM5_9606,ADRA1A_9913,ADORA1_9986,HTR2C_10116,ADORA2A_10141,OPRK1_10090,ACE_9986,EDNRA_10090,EDNRB_9823,UTS2R_10116,VIPR1_9606,PTGFR_10090,TACR1_10116,EDNRA_10116,HRH3_10116,OPRD1_10090,HTR1A_10116,MTNR1B_9606,HTR2B_9606,NPY1R_9606,DRD2_10116,AVPR1A_10090,ADORA2B_9606,ADORA1_10116,HTR2A_9823,HRH3_10141,EDNRB_10116,HTR4_10116,TACR2_10116,EDNRA_9823,ADORA3_9606,TACR2_9606,CHRM3_10116,HRH3_9606,OPRK1_10116,CNR2_10116,AGTR1_10141,OPRM1_10116,CHRM2_10116,ADORA1_9913,BDKRB2_9986,ADRA2A_9606,HTR7_10116,CHRM2_9823,OPRM1_9913,CNR2_10090,BDKRB2_10116,ADRA1A_10116,PTGFR_9913,AGTR1_9606,DRD2_9534,ADORA3_10116,CHRM4_10116,OPRM1_10090,DRD2_9606,AGTR1_9913,TACR1_10141,AGTR1_9823,PTGER2_9606,HTR2A_10090,HRH1_10141,HRH2_9606,ADRB1_10090,ADRB2_10116,CNR1_10090,CHRM4_9606,HTR2A_9606,ADRB1_10116,ADRB2_9606,HTR7_9606,CCKAR_9606,EDNRB_9606,OPRD1_10116,EDNRA_9606,ACE_10090,ADORA1_10090,ADRB2_9913,CHRM3_9606,BDKRB2_9606,PTGER2_10116,DRD1_9606,HRH1_10116,DRD2_10090,ADRA1A_9986,HTR1B_10116,EDNRB_10090,ADORA1_9606,ADRA2B_10116,HRH1_9606,CNR2_9606,HTR1A_10090,CNR1_10116,CNR1_9606,HTR1B_9606,ADRB1_9606,PTAFR_10141,AGTR2_10116,HTR4_10141,CALCRL_9606,ADORA3_10090,OPRK1_10141,BDKRB2_10141,OPRD1_9606,CCKAR_10141,TACR2_10141,UTS2R_9606,HTR1B_10029,AGTR2_9606,PTGFR_9606,ACE_9606,TACR2_9986,OPRK1_9606,DRD2_9913,ACE_10116,HRH2_10141,ADRA2B_9606,ADRB2_10141,CCKAR_10116,DRD1_10116,CALCRL_10116,AVPR1A_10116,ADORA2A_10116,HTR2A_10116,PTGER2_10090,CCKAR_10090,AVPR1A_9606,CHRM2_9606,ADRA2A_10116,PTAFR_9606,ADRA1A_9606,TACR1_9606,CHRM1_9606,HTR4_9606,OPRM1_10141,CHRM1_10116,HTR2C_9606,OPRM1_9606,AGTR1_10116,ADORA2A_9606,HTR2B_10116,CHRM5_10116,DRD1_9823,HRH3_10090,HTR1A_9606
CCCCC1=NC(C)=C(CC(=S)N2C(C)CCC2C)C(=O)N1CC1=CC=C(C2=CC=CC=C2C2=NOC(=O)N2)C=C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NC1CC2CCC(C1)N2CC1=CC(Br)=CC=C1)C1=CC2=CC=CC=C2C=C1,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
CCOC(=O)C(CC1=CNC2=CC=CC=C12)NC1CCC2=CC=CC=C2N(CC(=O)O)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CC1=C(Cl)C=CC=C1Cl)NC1=NC2=NN(CCCC3=CC=CC=C3)C=C2C2=NC(C3=CC=CO3)=NN12,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
CC1=CC[C@@H]2[C@@H](C1)C1=C(O)C=C(C(C)(C)C(=O)OCCBr)C=C1OC2(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCN1CCC2(C3=CC(O)=CC=C3)CCCCC2C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC=C2CC3N(C)CCC45C2=C1OC4C1(OC)CCC35CC1COCC1CCCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
O=C(C1=CC(Cl)=C(F)C=C1)N1CCC(F)(CNCCOC2=CC=CC=C2F)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
COC1=CC2=C(C=C1)NC=C2C1CCN(CCCCN2C(=O)C(C3=CC=CC=C3F)=C3CCCCN3C2=O)CC1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC=CC=C1N1CCN(CCCC[C@@H]2CCCN2C(=O)CC2CC3CCC2C3)CC1,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
